student_no,display_name,classroom,ability_profile
20260001,学生01,高级统计01班,medium
20260002,学生02,高级统计01班,struggling
20260003,学生03,高级统计01班,medium
20260004,学生04,高级统计01班,medium
20260005,学生05,高级统计01班,medium
20260006,学生06,高级统计01班,medium
20260007,学生07,高级统计01班,struggling
20260008,学生08,高级统计01班,medium
20260009,学生09,高级统计01班,high
20260010,学生10,高级统计01班,struggling
20260011,学生11,高级统计01班,high
20260012,学生12,高级统计01班,medium
20260013,学生13,高级统计01班,medium
20260014,学生14,高级统计01班,medium
20260015,学生15,高级统计01班,struggling
20260016,学生16,高级统计01班,medium
20260017,学生17,高级统计01班,struggling
20260018,学生18,高级统计01班,struggling
20260019,学生19,高级统计01班,medium
20260020,学生20,高级统计01班,struggling
20260021,学生21,高级统计01班,high
20260022,学生22,高级统计01班,high
20260023,学生23,高级统计01班,high
20260024,学生24,高级统计01班,high
20260025,学生25,高级统计01班,high
20260026,学生26,高级统计02班,medium
20260027,学生27,高级统计02班,high
20260028,学生28,高级统计02班,high
20260029,学生29,高级统计02班,medium
20260030,学生30,高级统计02班,high
20260031,学生31,高级统计02班,medium
20260032,学生32,高级统计02班,medium
20260033,学生33,高级统计02班,high
20260034,学生34,高级统计02班,medium
20260035,学生35,高级统计02班,high
20260036,学生36,高级统计02班,high
20260037,学生37,高级统计02班,medium
20260038,学生38,高级统计02班,medium
20260039,学生39,高级统计02班,medium
20260040,学生40,高级统计02班,medium
20260041,学生41,高级统计02班,medium
20260042,学生42,高级统计02班,high
20260043,学生43,高级统计02班,medium
20260044,学生44,高级统计02班,struggling
20260045,学生45,高级统计02班,high
20260046,学生46,高级统计02班,medium
20260047,学生47,高级统计02班,medium
20260048,学生48,高级统计02班,struggling
20260049,学生49,高级统计02班,struggling
20260050,学生50,高级统计02班,medium
